Categoria_do_egresso,Categoria_do_egresso_categórico,Escolaridade_do_pai,Escolaridade_do_pai_categórico,Escolaridade_do_pai_padronizado_categórico,Escolaridade_da_mãe,Escolaridade_da_mãe_categórico,Escolaridade_da_mãe_padronizado_categórico,Frequência_ao_cinema,Frequência_ao_cinema_categórico,Frequência_ao_teatro,Frequência_ao_teatro_categórico,Frequência_a_museus,Frequência_a_museus_categórico,Nº_de_viagens_ao_exterior_nas_férias,Nº_de_viagens_ao_exterior_nas_férias_categórico,Nº_de_viagens_ao_exterior_nas_férias_padronizado,Escolaridade_da_ocupação,Escolaridade_da_ocupação_categórico,Remuneração,Remuneração_categórico,Remuneração_padronizada_categórico
"Cotista (vagas de cotas, ações afirmativas)",1,Não se aplica,,,Ensino Fundamental Completo,3,2,Ocasionalmente,3,Ocasionalmente,3,Raramente,2,,,,Ensino Superior Completo,4,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Especialização Completa,9,5,Raramente,2,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Frequentemente,4,Frequentemente,4,Ocasionalmente,3,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Superior Incompleto,6,3,Ensino Superior Completo,7,4,Ocasionalmente,3,Ocasionalmente,3,Nunca,1,,,,Ensino Superior Completo,4,"De 2,5 a 3 salários mínimos (de R$ 2.750,01 a R$ 3.300,00)",5,2
Não cotista (vagas de ampla concorrência),2,Especialização Completa,9,5,Ensino Médio Completo,5,3,Frequentemente,4,Raramente,2,Raramente,2,,,,Ensino Superior Incompleto,3,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Ocasionalmente,3,Nunca,1,Nunca,1,,,,Nenhum nível de instrução,1,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Nunca,1,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 4 a 5 salários mínimos (de R$ 4.400,01 a R$ 5.500,00)",7,3
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Fundamental Incompleto,2,1,Frequentemente,4,Frequentemente,4,Frequentemente,4,,,,Ensino Superior Completo,4,"De 2,5 a 3 salários mínimos (de R$ 2.750,01 a R$ 3.300,00)",5,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Raramente,2,Nunca,1,Nunca,1,,,,Nenhum nível de instrução,1,"De 10 a 15 salários mínimos (de R$ 11.000,01 a R$ 16.500,00)",10,4
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Especialização Completa,9,5,Ocasionalmente,3,Nunca,1,Raramente,2,,,,Ensino Superior Completo,4,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
"Cotista (vagas de cotas, ações afirmativas)",1,Não sei dizer,,,Ensino Médio Completo,5,3,Nunca,1,Nunca,1,Nunca,1,,,,,,,,
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Completo,5,3,Ensino Fundamental Incompleto,2,1,Ocasionalmente,3,Raramente,2,Raramente,2,,,,Ensino Superior Completo,4,"De 2 a 2,5 salários mínimos (de R$ 2.200,01 a R$ 2.750,00)",4,2
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Superior Incompleto,6,3,Ocasionalmente,3,Ocasionalmente,3,Raramente,2,,,,Ensino Médio Completo,3,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Fundamental Incompleto,2,1,Nunca,1,Nunca,1,Nunca,1,,,,Ensino Médio Completo,3,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Raramente,2,Nunca,1,Raramente,2,,,,Ensino Superior Completo,4,"De 2 a 2,5 salários mínimos (de R$ 2.200,01 a R$ 2.750,00)",4,2
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Médio Completo,5,3,Raramente,2,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Completo,5,3,Mestrado Incompleto,10,4,Nunca,1,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Frequentemente,4,Nunca,1,Raramente,2,,,,Ensino Superior Completo,4,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Fundamental Incompleto,2,1,Frequentemente,4,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Ocasionalmente,3,Raramente,2,Raramente,2,2,2,2,Ensino Médio Completo,3,"De 4 a 5 salários mínimos (de R$ 4.400,01 a R$ 5.500,00)",7,3
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Nunca,1,Nunca,1,Nunca,1,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Nunca,1,Nunca,1,Nunca,1,,,,Ensino Fundamental Completo,2,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Superior Completo,7,4,Ocasionalmente,3,Nunca,1,Nunca,1,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Ocasionalmente,3,Raramente,2,Raramente,2,,,,,,,,
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Ocasionalmente,3,Ocasionalmente,3,Ocasionalmente,3,,,,Especialização Completa,5,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Especialização Completa,9,5,Raramente,2,Raramente,2,Raramente,2,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Superior Completo,7,4,Sempre,5,Frequentemente,4,Ocasionalmente,3,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Frequentemente,4,Raramente,2,Ocasionalmente,3,,,,Ensino Superior Completo,4,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Superior Incompleto,6,3,Ensino Superior Completo,7,4,Ocasionalmente,3,Raramente,2,Ocasionalmente,3,,,,Ensino Superior Completo,4,"De 2 a 2,5 salários mínimos (de R$ 2.200,01 a R$ 2.750,00)",4,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Superior Completo,7,4,Frequentemente,4,Ocasionalmente,3,Ocasionalmente,3,,,,Ensino Médio Completo,3,"De 2,5 a 3 salários mínimos (de R$ 2.750,01 a R$ 3.300,00)",5,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Ocasionalmente,3,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Completo,3,2,Frequentemente,4,Raramente,2,Raramente,2,,,,Ensino Superior Completo,4,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Completo,3,2,Ensino Superior Completo,7,4,Frequentemente,4,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 10 a 15 salários mínimos (de R$ 11.000,01 a R$ 16.500,00)",10,4
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Incompleto,4,2,Ensino Fundamental Incompleto,2,1,Raramente,2,Raramente,2,Raramente,2,,,,Não se aplica,,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Não sei dizer,,,Ensino Superior Incompleto,6,3,Raramente,2,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Nunca,1,Nunca,1,Nunca,1,,,,Ensino Médio Completo,3,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Frequentemente,4,Frequentemente,4,Frequentemente,4,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Especialização Completa,9,5,Ensino Médio Completo,5,3,Ocasionalmente,3,Raramente,2,Raramente,2,,,,Ensino Superior Completo,4,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Superior Completo,7,4,Sempre,5,Ocasionalmente,3,Raramente,2,,,,Ensino Superior Completo,4,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
Não cotista (vagas de ampla concorrência),2,Doutorado Completo,13,5,Ensino Médio Completo,5,3,Ocasionalmente,3,Raramente,2,Raramente,2,,,,Ensino Superior Completo,4,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Fundamental Completo,3,2,Ocasionalmente,3,Nunca,1,Nunca,1,,,,Ensino Médio Completo,3,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Sem instrução,1,1,Frequentemente,4,Nunca,1,Nunca,1,1,1,1,Ensino Médio Completo,3,"De 7 a 10 salários mínimos (de R$ 7.700,01 a R$ 11.000,00)",9,3
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Médio Completo,5,3,Raramente,2,Raramente,2,Raramente,2,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Mestrado Completo,11,5,Doutorado Incompleto,12,5,Frequentemente,4,Raramente,2,Ocasionalmente,3,1,1,1,Ensino Superior Completo,4,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Nunca,1,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Raramente,2,Nunca,1,Ocasionalmente,3,,,,Ensino Médio Completo,3,"De 2 a 2,5 salários mínimos (de R$ 2.200,01 a R$ 2.750,00)",4,2
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Médio Completo,5,3,Raramente,2,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 4 a 5 salários mínimos (de R$ 4.400,01 a R$ 5.500,00)",7,3
Não cotista (vagas de ampla concorrência),2,Não se aplica,,,Ensino Superior Incompleto,6,3,Raramente,2,Raramente,2,Raramente,2,,,,Ensino Superior Completo,4,"De 7 a 10 salários mínimos (de R$ 7.700,01 a R$ 11.000,00)",9,3
Não cotista (vagas de ampla concorrência),2,Mestrado Completo,11,5,Ensino Superior Incompleto,6,3,Raramente,2,Raramente,2,Raramente,2,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Especialização Completa,9,5,Raramente,2,Frequentemente,4,Frequentemente,4,1,1,1,Ensino Superior Completo,4,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Não sei dizer,,,Ensino Fundamental Incompleto,2,1,Frequentemente,4,Ocasionalmente,3,Ocasionalmente,3,,,,Ensino Superior Completo,4,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Fundamental Incompleto,2,1,Ensino Médio Completo,5,3,Raramente,2,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Fundamental Incompleto,2,1,Ensino Médio Completo,5,3,Raramente,2,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 2 a 2,5 salários mínimos (de R$ 2.200,01 a R$ 2.750,00)",4,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Mestrado Incompleto,10,4,Ocasionalmente,3,Raramente,2,Raramente,2,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Superior Incompleto,6,3,Ocasionalmente,3,Raramente,2,Ocasionalmente,3,,,,Não se aplica,,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Não sei dizer,,,Frequentemente,4,Ocasionalmente,3,Raramente,2,1,1,1,Especialização Completa,5,"De 2 a 2,5 salários mínimos (de R$ 2.200,01 a R$ 2.750,00)",4,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Incompleto,4,2,Ensino Médio Completo,5,3,Ocasionalmente,3,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 2 a 2,5 salários mínimos (de R$ 2.200,01 a R$ 2.750,00)",4,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Superior Completo,7,4,Ensino Médio Completo,5,3,Raramente,2,Nunca,1,Nunca,1,,,,Nenhum nível de instrução,1,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Superior Completo,7,4,Ocasionalmente,3,Raramente,2,Nunca,1,,,,Ensino Médio Completo,3,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Fundamental Incompleto,2,1,Ensino Médio Completo,5,3,Ocasionalmente,3,Raramente,2,Nunca,1,,,,Especialização Completa,5,"De 4 a 5 salários mínimos (de R$ 4.400,01 a R$ 5.500,00)",7,3
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Ocasionalmente,3,Nunca,1,Raramente,2,,,,Ensino Superior Completo,4,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
Não cotista (vagas de ampla concorrência),2,Ensino Superior Incompleto,6,3,Ensino Médio Completo,5,3,Nunca,1,Nunca,1,Nunca,1,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Doutorado Completo,13,5,Doutorado Completo,13,5,Ocasionalmente,3,Nunca,1,Ocasionalmente,3,5 ou mais,5,5,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Nunca,1,Nunca,1,Nunca,1,,,,Ensino Médio Completo,3,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Superior Completo,7,4,Frequentemente,4,Ocasionalmente,3,Ocasionalmente,3,,,,Ensino Superior Completo,4,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Raramente,2,Nunca,1,Nunca,1,,,,Nenhum nível de instrução,1,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Superior Completo,7,4,Frequentemente,4,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
Não cotista (vagas de ampla concorrência),2,Sem instrução,1,1,Ensino Superior Completo,7,4,Nunca,1,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Completo,3,2,Ensino Superior Completo,7,4,Nunca,1,Nunca,1,Raramente,2,,,,,,,,
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Incompleto,4,2,Ensino Fundamental Incompleto,2,1,Nunca,1,Nunca,1,Nunca,1,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Fundamental Incompleto,2,1,Frequentemente,4,Raramente,2,Raramente,2,,,,Ensino Superior Completo,4,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Raramente,2,Raramente,2,Nunca,1,,,,Ensino Médio Completo,3,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Fundamental Completo,3,2,Ensino Médio Completo,5,3,Raramente,2,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Ocasionalmente,3,Nunca,1,Nunca,1,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Mestrado Incompleto,10,4,Especialização Completa,9,5,Raramente,2,Raramente,2,Nunca,1,1,1,1,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Ocasionalmente,3,Ocasionalmente,3,Ocasionalmente,3,,,,Ensino Médio Completo,3,"De 2,5 a 3 salários mínimos (de R$ 2.750,01 a R$ 3.300,00)",5,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Superior Completo,7,4,Ensino Médio Completo,5,3,Ocasionalmente,3,Raramente,2,Raramente,2,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Sem instrução,1,1,Nunca,1,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
Não cotista (vagas de ampla concorrência),2,Especialização Completa,9,5,Especialização Completa,9,5,Frequentemente,4,Ocasionalmente,3,Raramente,2,,,,Ensino Superior Completo,4,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Superior Completo,7,4,Ocasionalmente,3,Raramente,2,Ocasionalmente,3,1,1,1,Ensino Superior Completo,4,"De 4 a 5 salários mínimos (de R$ 4.400,01 a R$ 5.500,00)",7,3
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Completo,5,3,Ensino Superior Completo,7,4,Ocasionalmente,3,Frequentemente,4,Ocasionalmente,3,,,,Ensino Superior Completo,4,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Superior Completo,7,4,Frequentemente,4,Nunca,1,Ocasionalmente,3,,,,Ensino Superior Incompleto,3,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Especialização Completa,9,5,Ocasionalmente,3,Frequentemente,4,Raramente,2,,,,Ensino Superior Completo,4,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Fundamental Incompleto,2,1,Ensino Médio Incompleto,4,2,Ocasionalmente,3,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 2,5 a 3 salários mínimos (de R$ 2.750,01 a R$ 3.300,00)",5,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Superior Completo,7,4,Ensino Superior Incompleto,6,3,Raramente,2,Raramente,2,Ocasionalmente,3,,,,Não se aplica,,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Especialização Completa,9,5,Frequentemente,4,Ocasionalmente,3,Ocasionalmente,3,2,2,2,Especialização Incompleta,4,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Incompleto,4,2,Ensino Superior Completo,7,4,Ocasionalmente,3,Nunca,1,Raramente,2,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Médio Completo,5,3,Raramente,2,Raramente,2,Ocasionalmente,3,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Superior Completo,7,4,Ocasionalmente,3,Raramente,2,Raramente,2,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Frequentemente,4,Raramente,2,Raramente,2,1,1,1,Ensino Superior Completo,4,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Completo,3,2,Ensino Fundamental Incompleto,2,1,Raramente,2,Raramente,2,Raramente,2,,,,Doutorado Completo,5,"De 2 a 2,5 salários mínimos (de R$ 2.200,01 a R$ 2.750,00)",4,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Ocasionalmente,3,Nunca,1,Raramente,2,,,,,,,,
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Nunca,1,Nunca,1,Nunca,1,,,,Ensino Médio Completo,3,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Superior Completo,7,4,Ocasionalmente,3,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 2 a 2,5 salários mínimos (de R$ 2.200,01 a R$ 2.750,00)",4,2
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Médio Completo,5,3,Ocasionalmente,3,Nunca,1,Ocasionalmente,3,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Médio Completo,5,3,Frequentemente,4,Raramente,2,Nunca,1,,,,Ensino Médio Completo,3,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Especialização Completa,9,5,Frequentemente,4,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Fundamental Completo,3,2,Nunca,1,Nunca,1,Raramente,2,,,,Ensino Médio Completo,3,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Ensino Superior Incompleto,6,3,Ensino Médio Completo,5,3,Ocasionalmente,3,Ocasionalmente,3,Ocasionalmente,3,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Ocasionalmente,3,Ocasionalmente,3,Raramente,2,,,,Ensino Médio Completo,3,"De 4 a 5 salários mínimos (de R$ 4.400,01 a R$ 5.500,00)",7,3
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Superior Completo,7,4,Raramente,2,Nunca,1,Raramente,2,,,,Ensino Médio Completo,3,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Frequentemente,4,Raramente,2,Raramente,2,,,,,,,,
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Completo,5,3,Ensino Superior Completo,7,4,Frequentemente,4,Raramente,2,Raramente,2,,,,Ensino Superior Completo,4,"De 2,5 a 3 salários mínimos (de R$ 2.750,01 a R$ 3.300,00)",5,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Fundamental Incompleto,2,1,Especialização Completa,9,5,Raramente,2,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Fundamental Incompleto,2,1,Ocasionalmente,3,Nunca,1,Nunca,1,,,,Ensino Médio Completo,3,"De 3 a 4 salários mínimos (de R$ 3.300,01 a R$ 4.400,00)",6,2
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Frequentemente,4,Nunca,1,Nunca,1,,,,,,,,
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Completo,5,3,Ensino Fundamental Incompleto,2,1,Frequentemente,4,Ocasionalmente,3,Ocasionalmente,3,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Não sei dizer,,,Ensino Médio Completo,5,3,Ocasionalmente,3,Ocasionalmente,3,Raramente,2,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Ocasionalmente,3,Raramente,2,Raramente,2,1,1,1,Ensino Superior Completo,4,"De 5 a 7 salários mínimos (de R$ 5.500,01 a R$ 7.700,00)",8,3
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Superior Completo,7,4,Especialização Completa,9,5,Frequentemente,4,Nunca,1,Raramente,2,,,,Ensino Superior Completo,4,"De 1 a 1,5 salários mínimos (de R$ 1.100,01 a R$ 1.650,00)",2,2
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Fundamental Incompleto,2,1,Nunca,1,Nunca,1,Nunca,1,,,,Ensino Fundamental Completo,2,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
